Session_Idx,Headstage,Condition,SR,R2,R2_drive,|Real|,|Imag|,N_mask_pts,SR_null_mean,SR_null_std,R2_drive_null_mean,R2_drive_null_std,|Real|_null_mean,|Imag|_null_mean
0,hs0,Tracking,0.8798868628861344,0.20325665593196518,8.370097232501816e-05,0.056133860175374084,0.15203869215997878,116237,0.6457674048715465,0.09301320885180614,2.2835451723295374e-05,1.0505344436377222e-05,0.11710611511792085,0.0725191240785736
0,hs0,Playback,0.7921923619385302,0.3422761294258301,2.568274487990685e-05,0.0394539233347216,0.048778404642777405,136793,0.648294113920632,0.08410960288597745,1.7185884961489206e-05,7.512877000580655e-06,0.09950566678347098,0.06294304932090598
1,hs0,Tracking,0.8328821803498254,0.3882017328988596,5.390646208658367e-05,0.024878576749074278,0.07971737565486263,97659,0.6405837732521775,0.07509525599067904,2.615722291342104e-05,9.563527267162528e-06,0.12574701270518937,0.07299346144705482
1,hs0,Playback,0.907784422146627,0.30939365225189075,7.734776734846793e-05,0.02794126347842126,0.14364242139878952,92920,0.6398386349590522,0.08880385315673314,2.761343318681053e-05,1.0439942716352645e-05,0.13685344413649866,0.08316123592237185
2,hs0,Tracking,0.7876014842831507,0.22682928406859115,1.201934353123324e-05,0.035168312338917755,0.05723171881530396,136677,0.6374451547765737,0.09853641668929056,2.0176208199309543e-05,8.192916631649607e-06,0.09816474700885319,0.060447524444740136
2,hs0,Playback,0.8611860454970189,0.3246907760971135,6.989712937732762e-05,0.0231959929319461,0.12706406663394637,150982,0.6302777460054454,0.10022513516868567,1.614131179611844e-05,6.208229830033614e-06,0.09231944389082551,0.05321344580375304
3,hs0,Tracking,0.8031350744340349,0.48878070646158867,7.177379805090034e-05,0.05711157762719277,0.10339705831032198,127453,0.6258948904404843,0.09022827641388845,1.9814900909060905e-05,8.248225396143167e-06,0.10925439585846206,0.06141226573880793
3,hs0,Playback,0.9076769917656238,0.13684163402652494,3.46762314989979e-05,0.01858245818142969,0.08739746070041765,115422,0.6464983218495965,0.0841489222347811,2.2165145790169483e-05,8.035371943484164e-06,0.13223572656431512,0.08629783797893868
4,hs0,Tracking,0.7064947593614501,0.24110749063895787,4.3889045924006e-05,0.07914100699349241,0.05527534514591859,137183,0.6472908227220054,0.08413707578108977,2.0822805403003518e-05,7.353072641102924e-06,0.11315630362471138,0.06934392598053865
4,hs0,Playback,0.9455718896975628,0.265281485753868,7.886713225768727e-05,0.020497124391862413,0.1330494472012266,125895,0.6365378762306396,0.09965020306783198,1.9121242975214115e-05,9.05108488205176e-06,0.11743312174421244,0.06793906585003037
5,hs0,Tracking,0.9084438844416396,0.3544458894354291,0.0001783474725656209,0.040368640999534196,0.2143347756446362,121266,0.6392712112207858,0.10280434898809668,2.248001052893467e-05,9.0343018505123e-06,0.11549449440168655,0.07118616979670186
5,hs0,Playback,0.7936271007222632,0.3081212205810555,3.9231267200401376e-05,0.051009822591928655,0.0892859355585081,106676,0.6364035630287115,0.07960361659141028,2.303128314358527e-05,9.40757361360394e-06,0.13390208408238508,0.07715773939966535
6,hs1,Tracking,0.9461242689499966,0.24232141927534556,6.313439837901669e-05,0.022113162267911393,0.13543140263845568,148301,0.642584622116418,0.09430718444500727,1.8338185106647752e-05,6.819219619330105e-06,0.11148945640735886,0.06784797862487178
6,hs1,Playback,0.9004875386617395,0.43499187518793436,7.872734514746682e-05,0.020265186060694457,0.13091980587845267,125691,0.6255681519841001,0.09365151232731135,1.9071375556134474e-05,7.1809457922070795e-06,0.10713753292917139,0.05848740708334638
7,hs1,Tracking,0.9216995610967272,0.38487694512571435,6.32390691223117e-05,0.03921898116305892,0.11982427389251293,147082,0.6385132217841569,0.09250406566610254,1.7045677037917927e-05,7.068218147394828e-06,0.10778985317014583,0.06417151019171051
7,hs1,Playback,0.9049824705135097,0.23961997343281438,2.145211651638501e-05,0.02121548522328358,0.07874901439302065,127858,0.6389386325676019,0.07964252798789402,1.9612656005209004e-05,6.783746242525077e-06,0.12318595499702031,0.07318651302247499
8,hs1,Tracking,0.8224250373743026,0.4074997622089789,3.451930680542503e-05,0.0384633005681449,0.06578709821196872,94811,0.6501639366799004,0.09081437894891273,2.6510626393662084e-05,1.461275983260806e-05,0.10485389766990844,0.06737448628149917
8,hs1,Playback,0.937056888864654,0.2931754672375778,6.162581183977167e-05,0.019718072914891496,0.09108022517206832,126947,0.6361065022080554,0.08888612148855617,1.8733091288221094e-05,6.8323242505541945e-06,0.10596572001097844,0.06188267725147372
9,hs1,Tracking,0.9226014569424594,0.4965769055873528,5.503935766693058e-05,0.011570735729601883,0.1312038432841932,96465,0.6392188128051202,0.0932428775731146,3.160169214412534e-05,1.2228964745098493e-05,0.12455581217993301,0.0772333919159091
9,hs1,Playback,0.8741786945471213,0.22827717040896023,6.044152583661866e-05,0.044746542270924144,0.14625568035805472,141305,0.6527367392852922,0.0844110678173927,1.7267673945695616e-05,7.566402338183574e-06,0.11465120488334463,0.07519371371965286
