Session_Idx,Headstage,N_neurons,T_total,T_emb,CEBRA_loss,n_trig_A,n_pts_A,n_trig_B,n_pts_B,duty_cycle_A,duty_cycle_B,vel_mean_A,vel_mean_B,vel_std_A,vel_std_B,KS_stat,KS_pval,kinematic_aligned,SR_A,SR_B,R2_drive_A,R2_drive_B,|Real|_A,|Real|_B,|Imag|_A,|Imag|_B
0,hs0,12,530545,530545,8.099884986877441,4107,116237,5176,136793,21.90898038809149,25.78348679188382,2.9303287840712686,3.158278819596579,3.8960898404208346,3.8206776464004233,0.032445997040724595,6.568182451799743e-58,False,0.8798868628861344,0.7921923619385302,8.370097232501816e-05,2.568274487990685e-05,0.056133860175374084,0.0394539233347216,0.15203869215997878,0.048778404642777405
1,hs0,10,605291,605291,7.950713157653809,3466,97659,3708,92920,16.13422304313132,15.351293840483338,3.5264036117188042,3.1853176957261935,4.676546486704572,4.3479330073124665,0.03601252435309121,4.3479881290017676e-54,False,0.8328821803498254,0.907784422146627,5.390646208658367e-05,7.734776734846793e-05,0.024878576749074278,0.02794126347842126,0.07971737565486263,0.14364242139878952
2,hs0,12,603318,603318,8.051624298095703,4609,136677,5693,150982,22.654222151502193,25.025276885489905,3.0955383295059815,3.366651905200565,3.903140424755017,3.90574136544179,0.032895071121828545,7.091940114740199e-68,False,0.7876014842831507,0.8611860454970189,1.201934353123324e-05,6.989712937732762e-05,0.035168312338917755,0.0231959929319461,0.05723171881530396,0.12706406663394637
3,hs0,15,603243,603243,7.993211269378662,4033,127453,4211,115422,21.12796998887679,19.133582983971635,2.6670432123013854,3.060322259713479,3.3143747903447287,3.7076310061886986,0.04178178437076663,2.5742228678839773e-92,False,0.8031350744340349,0.9076769917656238,7.177379805090034e-05,3.46762314989979e-05,0.05711157762719277,0.01858245818142969,0.10339705831032198,0.08739746070041765
4,hs0,15,603386,603386,8.017950057983398,4855,137183,4629,125895,22.735529163752556,20.86475324253463,2.6258930049407536,3.0820717941068176,3.2816785325436935,3.80106437057872,0.05389907363023427,3.3589671753745324e-166,False,0.7064947593614501,0.9455718896975628,4.3889045924006e-05,7.886713225768727e-05,0.07914100699349241,0.020497124391862413,0.05527534514591859,0.1330494472012266
5,hs0,18,482041,482041,8.064739227294922,3922,121266,3787,106676,25.156781269643037,22.13006777431795,2.864647115498627,2.887579615874221,3.2731297841650577,3.5126738508308453,0.02584645123424051,2.2822316866117163e-33,False,0.9084438844416396,0.7936271007222632,0.0001783474725656209,3.9231267200401376e-05,0.040368640999534196,0.051009822591928655,0.2143347756446362,0.0892859355585081
6,hs1,18,610178,610178,8.008475303649902,4540,148301,3897,125691,24.304547197702966,20.599071090730902,3.026639300765547,3.179744033032786,3.908920715934529,3.7076303032725018,0.027048042993084165,1.1347830596526543e-43,False,0.9461242689499966,0.9004875386617395,6.313439837901669e-05,7.872734514746682e-05,0.022113162267911393,0.020265186060694457,0.13543140263845568,0.13091980587845267
7,hs1,14,603871,603871,8.058289527893066,4803,147082,4514,127858,24.356526476681278,21.173065108276436,2.752582899362782,2.9024924891214954,3.447567571950723,3.706417942505378,0.020899941164345237,2.1955201364351735e-26,False,0.9216995610967272,0.9049824705135097,6.32390691223117e-05,2.145211651638501e-05,0.03921898116305892,0.02121548522328358,0.11982427389251293,0.07874901439302065
8,hs1,14,602661,602661,7.948107719421387,3443,94811,4259,126947,15.73206163996011,21.064412663172163,3.3513908721646026,3.645694289176967,4.5583280479365085,4.473908743225972,0.04644544787994087,3.499333618046952e-102,False,0.8224250373743026,0.937056888864654,3.451930680542503e-05,6.162581183977167e-05,0.0384633005681449,0.019718072914891496,0.06578709821196872,0.09108022517206832
9,hs1,13,601543,601543,7.962360382080078,3832,96465,4894,141305,16.03626008448274,23.490423793477774,2.8828130524238844,3.3817989492050007,3.901912005613919,3.8722236860496584,0.07304257701826367,1.998301835999824e-266,False,0.9226014569424594,0.8741786945471213,5.503935766693058e-05,6.044152583661866e-05,0.011570735729601883,0.044746542270924144,0.1312038432841932,0.14625568035805472
10,hs1,12,603475,603475,8.06187629699707,4428,127868,5048,140199,21.18861593272298,23.231948299432453,2.88466256442605,3.3993485011531113,3.707609123818998,4.6580155309194105,0.03846036324871582,2.1868181258880313e-86,False,0.9122129466159988,0.6931178847446544,0.00011501942032154933,1.696165871323263e-05,0.03297494654243159,0.04097236310553283,0.14974530391550375,0.02680176441827729
11,hs1,13,603413,603413,7.939977645874023,3571,95912,4319,110909,15.89491774290577,18.38028017294954,2.8735007678161715,2.915119747303486,3.6571654174707597,3.6309307888457187,0.014400339016069658,1.0774779977072393e-09,False,0.9033427875340696,0.6408206908318539,0.00011467942222120886,2.1261455901755433e-05,0.064209377966498,0.07543581344838293,0.1920482048394446,0.03592581400221687
12,hs1,13,607223,607223,7.918330192565918,3963,100666,3425,75593,16.5780940445273,12.448968500863767,2.9401703716885312,3.1806260130599617,3.9483899455478304,4.507026756635087,0.026309970784605397,2.1467763547204115e-26,False,0.9289446251234825,0.889874900589918,5.544140040802947e-05,6.356398518203576e-05,0.043302643513979104,0.025223968759150492,0.11105806616706854,0.10416494467635727
