Session_Idx,Headstage,N_neurons,T_total,T_emb,CEBRA_loss,DRIVE_KEY,n_trig_A,n_pts_A,n_trig_B,n_pts_B,duty_cycle_A,duty_cycle_B,drive_mean_A,drive_mean_B,drive_std_A,drive_std_B,KS_stat,KS_pval,kinematic_aligned,SR_A,SR_B,R2_drive_A,R2_drive_B,|Real|_A,|Real|_B,|Imag|_A,|Imag|_B
0,hs0,12,530545,530545,8.057828903198242,Position,4107,116237,5176,136793,21.90898038809149,25.78348679188382,13.806434614310245,15.299248823573588,6.307990636556909,6.6887167005731465,0.139315003943269,0.0,False,0.7795675794660003,0.7488676436177492,0.010209595971667595,0.0011511551718169644,0.11887502999647154,0.12907821895122215,0.3097411591819772,0.13035924570475263
1,hs0,10,605291,605291,7.950761795043945,Position,3466,97659,3708,92920,16.13422304313132,15.351293840483338,13.454841000463261,13.474791248219818,7.44757609530411,9.138737271728251,0.12335097774942397,0.0,False,0.822387474289041,0.766628038778543,0.0012097131979853515,9.884571848051138e-05,0.06847679482926049,0.03037167739188153,0.12910139151521652,0.035781421672615034
2,hs0,12,603318,603318,8.05222225189209,Position,4609,136677,5693,150982,22.654222151502193,25.025276885489905,15.71049236145595,14.32067993625481,6.9831426814564,8.229389876184918,0.1250661400791307,0.0,False,0.8136629901826858,0.8383180652676404,0.001110509662706316,0.0024415081643962555,0.08608651547142719,0.018891938082874142,0.1193744354967023,0.19094344893388007
3,hs0,15,603243,603243,7.990482807159424,Position,4033,127453,4211,115422,21.12796998887679,19.133582983971635,14.894016928243119,14.596449595910798,6.720922260210632,7.7411219267473,0.07802871378511915,3.16e-321,False,0.8097606422353859,0.8143788113987803,0.001435871887212281,0.00015443350852883952,0.09326938570203701,0.04244437377958965,0.17710365381169943,0.04853624241650947
4,hs0,15,603386,603386,8.005987167358398,Position,4855,137183,4629,125895,22.735529163752556,20.86475324253463,16.26524338426169,13.885404314425926,6.297494102693044,7.145327559777223,0.1503861674452528,0.0,False,0.8266713959526204,0.7670232819206415,0.009822328258404567,0.00028075361017187994,0.22029808870412282,0.0537388267670024,0.35104484076071785,0.06952517150312887
5,hs0,18,482041,482041,8.066664695739746,Position,3922,121266,3787,106676,25.156781269643037,22.13006777431795,14.150686199638807,13.80123716115822,7.152780101604203,6.811128083548004,0.05339832462225236,4.369900037593e-141,False,0.6254453241608784,0.8435465889665165,0.005110848625575426,0.00028405663290087535,0.23497747762908613,0.019167282751331685,0.12199325021889325,0.06671132134519438
6,hs1,18,610178,610178,8.037369728088379,Position,4540,148301,3897,125691,24.304547197702966,20.599071090730902,13.741927065038185,14.84409026391313,6.314263672841324,6.699443557189986,0.07862729513684741,0.0,False,0.922429328686776,0.8604307585519242,0.0003689411527827424,0.0009412133233424047,0.01463018810358333,0.027596028252450933,0.09808770132947768,0.13606854794024364
7,hs1,14,603871,603871,8.054733276367188,Position,4803,147082,4514,127858,24.356526476681278,21.173065108276436,13.009521312412387,16.632240095708077,6.366521505796929,6.650622878288417,0.24703076656684075,0.0,False,0.8138250061187787,0.8029055757834668,0.0020276945099549915,0.00013809036872280966,0.062056199257498695,0.030124723778332956,0.13713080265812883,0.047146447666143544
8,hs1,14,602661,602661,7.9822258949279785,Position,3443,94811,4259,126947,15.73206163996011,21.064412663172163,16.083857436320738,14.339615664572307,6.48436048294851,7.99079884045451,0.1337437820332546,0.0,False,0.7530910297826391,0.8927366279796288,0.0026578694639332046,0.00046514583656132036,0.111273200067754,0.04785334804379301,0.15823037439948506,0.10401243283221935
9,hs1,13,601543,601543,7.988009452819824,Position,3832,96465,4894,141305,16.03626008448274,23.490423793477774,13.30042633509754,11.700428285098232,6.718903317231808,7.970040912046151,0.145781085809244,0.0,False,0.8228827470160145,0.7987160100500457,0.002829940337681802,0.0005037075168092819,0.061140432627654735,0.05456805931696118,0.15972460737488745,0.12577440040141005
10,hs1,12,603475,603475,8.047525405883789,Position,4428,127868,5048,140199,21.18861593272298,23.231948299432453,14.66467125180497,16.827307122238683,6.449145231671319,7.5107038539631965,0.20494857919216336,0.0,False,0.8209947475881917,0.9579013105168152,0.005001012582468989,0.0013208474536873238,0.024110004118790284,0.034002843458711594,0.2625553562237577,0.1653044213463267
11,hs1,13,603413,603413,7.91935920715332,Position,3571,95912,4319,110909,15.89491774290577,18.38028017294954,16.55780696869808,15.467524286640822,5.95338383924208,7.098930559572225,0.09528034003444392,0.0,False,0.6657174175163302,0.9037460748439514,0.0021327803451534066,0.0004240944011381087,0.15239060452733183,0.049558207454278046,0.11584908888980365,0.12280778116691556
12,hs1,13,607223,607223,7.883304119110107,Position,3963,100666,3425,75593,16.5780940445273,12.448968500863767,12.947241012490746,11.300992428753503,6.316661641181432,8.11111542889935,0.2022316319011414,0.0,False,0.8848189230022775,0.6758034982043843,0.008972249085996697,0.00021170240474144286,0.10494859331316002,0.06727820662670832,0.49440812532300354,0.06606017433350768
