neuron_id,pair_idx,neuron_idx,mp1_name,mp2_name,n_neurons_mp1,n_neurons_mp2,R2_mp1,R2_mp2,delta_R2
20260316_n0,0,0,SKIEUR_20260316_SESSION_01,SKIEUR_20260316_SESSION_02,7,32,0.00279376929837305,0.0009588115129566255,-0.0018349577854164245
20260316_n1,0,1,SKIEUR_20260316_SESSION_01,SKIEUR_20260316_SESSION_02,7,32,0.005522276769020507,-2.3171720875625468e-05,-0.005545448489896132
20260316_n2,0,2,SKIEUR_20260316_SESSION_01,SKIEUR_20260316_SESSION_02,7,32,0.002489617770180641,0.007048677602119469,0.004559059831938828
20260316_n3,0,3,SKIEUR_20260316_SESSION_01,SKIEUR_20260316_SESSION_02,7,32,0.010373741111186385,0.0008801930617025056,-0.00949354804948388
20260316_n4,0,4,SKIEUR_20260316_SESSION_01,SKIEUR_20260316_SESSION_02,7,32,0.004258540934346633,0.0013608834290037564,-0.0028976575053428766
20260316_n5,0,5,SKIEUR_20260316_SESSION_01,SKIEUR_20260316_SESSION_02,7,32,0.01014639896266345,-4.092819141465753e-05,-0.010187327154078107
20260316_n6,0,6,SKIEUR_20260316_SESSION_01,SKIEUR_20260316_SESSION_02,7,32,0.003056213613193637,8.441659236135823e-05,-0.0029717970208322786
20260316_n7,0,7,SKIEUR_20260316_SESSION_01,SKIEUR_20260316_SESSION_02,7,32,,-6.537468890499554e-05,
20260316_n8,0,8,SKIEUR_20260316_SESSION_01,SKIEUR_20260316_SESSION_02,7,32,,7.794483128231722e-05,
20260316_n9,0,9,SKIEUR_20260316_SESSION_01,SKIEUR_20260316_SESSION_02,7,32,,0.0003784474133521343,
20260316_n10,0,10,SKIEUR_20260316_SESSION_01,SKIEUR_20260316_SESSION_02,7,32,,0.0056472018551775305,
20260316_n11,0,11,SKIEUR_20260316_SESSION_01,SKIEUR_20260316_SESSION_02,7,32,,0.0023640813662731963,
20260316_n12,0,12,SKIEUR_20260316_SESSION_01,SKIEUR_20260316_SESSION_02,7,32,,0.003625950942122147,
20260316_n13,0,13,SKIEUR_20260316_SESSION_01,SKIEUR_20260316_SESSION_02,7,32,,-1.1851226499492995e-05,
20260316_n14,0,14,SKIEUR_20260316_SESSION_01,SKIEUR_20260316_SESSION_02,7,32,,-2.6780216489497022e-05,
20260316_n15,0,15,SKIEUR_20260316_SESSION_01,SKIEUR_20260316_SESSION_02,7,32,,0.0011888478398773827,
20260316_n16,0,16,SKIEUR_20260316_SESSION_01,SKIEUR_20260316_SESSION_02,7,32,,0.0010430800617033942,
20260316_n17,0,17,SKIEUR_20260316_SESSION_01,SKIEUR_20260316_SESSION_02,7,32,,-8.293573928774833e-05,
20260316_n18,0,18,SKIEUR_20260316_SESSION_01,SKIEUR_20260316_SESSION_02,7,32,,6.319308342328522e-05,
20260316_n19,0,19,SKIEUR_20260316_SESSION_01,SKIEUR_20260316_SESSION_02,7,32,,-2.6966886644164134e-05,
